RNK;NAME;ROLE;NAT;HEIGHT;AGE;TM NAME;GP;W;L;W%;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;POSS;USG%;PPP;OFF RTG (ON);DEF RTG (ON);NET RTG (ON);IND OFF RTG;IND DEF RTG;IND NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;PF 100 Poss;DF 100 Poss;PER;OFF WIN SHARE;DEF WIN SHARE;WIN SHARE;WIN Share per 40;OBPM;DBPM;BPM;VORP;TM PACE (ON);TM OFF RTG (ON);TM DEF RTG (ON);TM NET RTG (ON);TM TS% (ON);TM OR% (ON);TM TO% (ON);TM FT Ratio (ON);OPP TS% (ON);OPP OR% (ON);OPP TO% (ON);OPP FT Ratio (ON);TM PACE (OFF);TM OFF RTG (OFF);TM DEF RTG (OFF);TM NET RTG (OFF);TM TS% (OFF);TM OR% (OFF);TM TO% (OFF);TM FT Ratio (OFF);OPP TS% (OFF);OPP OR% (OFF);OPP TO% (OFF);OPP FT Ratio (OFF);TM PACE (NET);TM OFF RTG (NET);TM DEF RTG (NET);TM NET RTG (NET);TM TS% (NET);TM OR% (NET);TM TO% (NET);TM FT Ratio (NET);OPP TS% (NET);OPP OR% (NET);OPP TO% (NET);OPP FT Ratio (NET)
1;Justin Bean;F/PF;USA;201;28;ALBA Berlin;27;5;22;19%;15,5;3,9;1,0;2,2;47%;0,5;1,3;36%;1,5;3,5;43%;0,4;0,5;71%;0,9;2,1;3,0;0,7;0,5;0,7;0,4;0,1;1,2;1,1;6,0;-4,1;4,2;13%;0,92;103,1;117,6;-14,5;102,6;105,1;-2,5;50%;52%;15%;1,41;25%;0,64;12%;1,00;11%;1,15;20%;1,04;5%;11%;6%;5%;15%;2%;15%;1,5;6,8%;6,7%;6,2%;0,0%;16,5%;13,9%;17,6%;10,8%;11,4%;2,6%;1,7%;4,2;3,9;15,2;-0,1;0,8;0,7;0,067;-2,9;1,7;-1,2;0,2;73,7;103,1;117,6;-14,5;55%;30%;17%;8%;62%;35%;17%;9%;73,3;103,5;116,7;-13,3;56%;31%;19%;8%;60%;34%;16%;8%;0,4;-0,3;0,8;-1,2;-1%;-1%;-2%;1%;1%;1%;2%;0%
2;Sterling Brown;SG;USA;198;29;ALBA Berlin;29;4;25;14%;24,1;11,2;2,0;4,4;46%;1,9;5,4;36%;4,0;9,9;40%;1,4;1,5;93%;0,7;2,6;3,3;2,4;1,9;0,8;0,2;0,6;2,1;1,4;8,7;-6,0;12,4;25%;0,91;104,4;119,6;-15,2;103,1;109,6;-6,5;50%;54%;13%;1,25;17%;0,81;5%;0,42;6%;1,57;38%;1,00;5%;16%;15%;16%;19%;10%;16%;1,3;3,5%;3,8%;2,3%;0,0%;12,3%;11,4%;10,7%;10,9%;7,9%;1,7%;0,4%;4,8;3,3;15,5;-0,1;0,9;0,8;0,046;-1,1;-1,9;-3,0;-0,4;73,2;104,4;119,6;-15,2;56%;30%;18%;9%;60%;33%;13%;8%;71,9;105,0;116,0;-11,0;55%;30%;17%;7%;61%;35%;17%;9%;1,3;-0,6;3,6;-4,2;1%;-1%;1%;2%;-1%;-2%;-4%;0%
3;Malte Delow;SG;GER;194;23;ALBA Berlin;34;5;29;15%;17,0;5,1;1,0;2,1;49%;0,9;2,7;32%;1,9;4,8;39%;0,5;0,7;78%;0,8;1,4;2,3;2,3;1,7;0,8;0,1;0,2;2,2;1,2;4,6;-1,9;6,8;19%;0,75;108,5;114,5;-6,0;100,1;106,7;-6,6;48%;50%;8%;1,79;19%;0,62;3%;1,00;1%;0,00;39%;0,98;4%;26%;18%;17%;30%;6%;25%;1,3;5,6%;6,8%;3,6%;4,0%;10,9%;10,8%;9,9%;2,1%;8,1%;2,4%;0,3%;7,1;3,9;9,9;-0,2;0,9;0,7;0,048;-3,2;-0,7;-3,9;-0,7;73,9;108,5;114,5;-6,0;57%;35%;19%;8%;61%;31%;18%;9%;72,3;101,3;121,5;-20,2;54%;28%;17%;7%;61%;35%;14%;8%;1,6;7,1;-7,0;14,2;3%;7%;1%;1%;0%;-4%;3%;2%
4;Martin Hermannsson;PG/SG;ICE;190;30;ALBA Berlin;12;1;11;8%;20,4;7,2;1,9;4,3;44%;0,7;2,0;33%;2,6;6,3;41%;1,3;1,3;100%;0,1;1,4;1,5;4,2;2,3;0,8;0,2;0,7;1,6;1,9;7,3;-8,3;9,2;22%;0,78;106,4;126,8;-20,4;113,4;116,6;-3,2;46%;52%;7%;1,00;24%;0,77;16%;1,00;1%;0,00;20%;1,09;5%;25%;30%;26%;51%;4%;31%;1,8;0,5%;0,0%;1,0%;0,0%;8,3%;7,0%;8,4%;10,0%;4,3%;2,0%;0,5%;4,2;5,2;12,6;0,2;0,2;0,4;0,063;-3,2;-3,8;-7,0;-0,7;71,9;106,4;126,8;-20,4;56%;29%;17%;6%;63%;33%;12%;8%;75,3;100,9;118,4;-17,5;55%;29%;19%;7%;63%;30%;16%;8%;-3,4;5,5;8,4;-2,9;1%;0%;-2%;-1%;0%;3%;-4%;0%
5;Christ Koumadje;C;CHA;223;28;ALBA Berlin;28;5;23;18%;16,6;5,6;2,3;3,7;62%;0,0;0,0;-;2,3;3,7;62%;1,1;1,6;68%;2,1;3,3;5,4;0,3;0,9;0,4;0,9;0,3;2,1;1,6;8,9;-3,0;5,3;15%;1,07;103,5;114,2;-10,7;112,6;101,3;11,3;62%;64%;41%;1,53;27%;0,85;2%;0,67;0%;-;0%;-;14%;17%;2%;1%;5%;2%;5%;0,3;14,1%;12,8%;13,7%;4,8%;22,1%;21,5%;18,3%;15,8%;18,1%;1,3%;3,2%;6,9;5,2;21,1;0,2;1,0;1,2;0,104;-3,4;0,7;-2,7;-0,2;73,1;103,5;114,2;-10,7;55%;35%;19%;7%;58%;29%;15%;9%;72,7;106,2;120,7;-14,5;56%;29%;17%;8%;63%;36%;17%;8%;0,4;-2,7;-6,5;3,8;-1%;6%;2%;-1%;-4%;-7%;-2%;0%
6;Jonas Mattisseck;SG;GER;194;24;ALBA Berlin;26;3;23;12%;12,1;3,3;0,2;0,6;33%;0,9;2,0;43%;1,1;2,6;41%;0,3;0,3;100%;0,1;0,5;0,6;0,5;0,3;0,3;0,0;0,0;1,8;1,2;2,4;-4,9;3,0;12%;1,09;98,4;119,3;-20,9;108,5;112,5;-4,0;58%;61%;1%;0,00;6%;0,80;11%;0,67;11%;1,67;56%;1,23;4%;10%;6%;4%;18%;3%;15%;1,8;0,7%;0,6%;0,8%;0,0%;5,9%;6,6%;5,3%;0,0%;3,1%;1,6%;0,0%;8,1;5,7;8,0;0,1;0,3;0,4;0,048;-1,6;-1,4;-3,1;-0,2;71,3;98,4;119,3;-20,9;53%;30%;19%;7%;62%;35%;16%;9%;73,6;106,3;121,1;-14,8;57%;31%;19%;7%;62%;33%;15%;8%;-2,3;-7,9;-1,8;-6,1;-4%;-1%;0%;0%;0%;2%;1%;1%
7;Kresimir Nikic;C;CRO;213;25;ALBA Berlin;17;2;15;12%;6,2;1,5;0,6;1,4;43%;0,0;0,0;-;0,6;1,4;43%;0,3;0,4;83%;0,2;0,5;0,7;0,4;0,4;0,2;0,1;0,1;0,8;0,5;1,2;-1,1;1,8;14%;0,81;103,6;113,5;-9,9;92,1;104,4;-12,3;43%;50%;16%;1,60;42%;0,77;16%;0,40;0%;-;0%;-;6%;19%;8%;9%;12%;0%;16%;1,0;4,1%;3,4%;4,7%;0,0%;8,8%;6,3%;6,7%;0,0%;6,3%;1,6%;1,2%;7,3;4,1;6,9;-0,1;0,2;0,1;0,047;-6,4;-0,4;-6,8;-0,3;74,1;103,6;113,5;-9,9;55%;31%;18%;9%;58%;40%;18%;7%;73,4;105,3;121,2;-15,9;57%;31%;19%;8%;63%;34%;16%;8%;0,7;-1,7;-7,7;6,0;-2%;0%;-1%;1%;-5%;5%;2%;-1%
8;Louis Olinde;F;GER;205;26;ALBA Berlin;17;1;16;6%;22,2;8,9;1,9;3,0;65%;1,3;3,1;42%;3,2;6,1;53%;1,1;1,4;83%;1,1;2,2;3,3;1,4;0,9;1,1;0,4;0,3;1,9;1,9;10,9;-3,2;7,6;17%;1,16;105,6;111,8;-6,2;121,8;102,4;19,4;63%;66%;12%;1,75;21%;1,19;6%;0,75;2%;3,00;38%;1,14;8%;12%;10%;15%;6%;2%;16%;1,6;5,5%;4,2%;5,4%;6,7%;12,5%;10,0%;12,2%;11,1%;8,9%;2,8%;1,2%;4,7;4,9;21,3;0,4;0,8;1,2;0,126;1,2;0,9;2,1;0,9;72,1;105,6;111,8;-6,2;56%;31%;18%;8%;59%;32%;17%;8%;74,2;101,6;129,7;-28,2;55%;28%;19%;7%;64%;35%;13%;10%;-2,1;4,0;-18,0;22,0;1%;3%;-1%;1%;-5%;-4%;4%;-2%
9;Gabriele Procida;SG;ITA;198;22;ALBA Berlin;25;5;20;20%;17,4;8,3;1,8;3,2;58%;1,1;3,7;29%;2,9;6,9;42%;1,4;1,8;76%;0,5;1,1;1,6;0,9;1,0;1,4;0,4;0,3;0,8;1,8;7,9;-3,7;8,7;23%;0,95;105,7;116,1;-10,4;102,7;104,3;-1,5;50%;54%;18%;1,64;12%;0,72;7%;0,63;7%;1,20;35%;0,82;9%;12%;8%;10%;7%;2%;10%;0,9;3,1%;3,2%;2,8%;0,0%;7,9%;6,2%;8,3%;3,8%;5,3%;4,4%;1,3%;2,5;5,7;21,1;-0,1;0,8;0,7;0,069;-0,7;0,4;-0,3;0,4;73,9;105,7;116,1;-10,4;54%;33%;16%;8%;61%;36%;18%;9%;72,2;104,1;118,0;-13,9;57%;30%;19%;8%;60%;34%;15%;7%;1,7;1,6;-1,9;3,5;-3%;3%;-3%;0%;1%;3%;3%;1%
10;Elias Rapieque;F;GER;200;20;ALBA Berlin;4;0;4;0%;6,3;3,5;0,3;0,8;33%;0,8;1,3;60%;1,0;2,0;50%;0,8;0,8;100%;0,8;0,0;0,8;0,8;1,0;0,0;0,0;0,0;0,5;1,0;3,5;-0,8;3,3;22%;1,08;125,5;128,8;-3,4;124,1;128,2;-4,1;69%;78%;8%;2,00;8%;0,00;8%;0,00;8%;3,00;31%;1,50;8%;31%;14%;10%;25%;0%;19%;0,8;13,6%;10,0%;14,3%;-;0,0%;0,0%;0,0%;-;7,7%;0,0%;0,0%;3,8;7,8;20,0;0,1;0,0;0,0;0,073;-0,2;-3,9;-4,1;0,0;78,7;125,5;128,8;-3,4;65%;32%;16%;7%;71%;35%;19%;12%;72,2;95,0;125,9;-30,9;50%;30%;19%;5%;65%;28%;14%;10%;6,5;30,4;2,9;27,5;15%;2%;-3%;2%;6%;8%;5%;2%
