RNK;TM NAME;GP;W;L;MIN;PTS;2PTM;2PTA;2PT%;3PTM;3PTA;3PT%;FGM;FGA;FG%;FTM;FTA;FT%;OR;DR;TR;AST;TO;ST;BLK;BLKA;PF;DF;VAL;+ / -;PACE;POSS;SHOOTING CHANCES;OFF PPP;DEF PPP;OFF RTG;DEF RTG;NET RTG;eFG%;TS%;RIM FREQ;RIM PPS;PAINT FREQ;PAINT PPS;MID FREQ;MID PPS;C3 FREQ;C3 PPS;L3 FREQ;L3 PPS;FT Ratio;TO%;AST%;AST% (2P);AST% (3P);AST% (FT);AST Ratio;AST/TO;OR%;OR% (after 2P);OR% (after 3P);OR% (after FT);DR%;DR% (after 2P);DR% (after 3P);DR% (after FT);TR%;ST%;BLK%;KILLS;PSF FREQ;DSF FREQ;SoS
1;ALBA Berlin;34;5;29;200;76,2;18,9;37,1;51%;8,9;25,3;35%;27,7;62,4;44%;11,9;15;79%;10,8;21,6;32,4;16,4;15,2;7;2,1;3,5;18,3;18,1;77,6;-10,4;73;73;84;0,91;1,03;104,4;118,5;-14,1;52%;55%;15%;1,43;21%;0,82;9%;0,79;3%;1,36;26%;1,03;8%;18%;48%;44%;76%;23%;20%;1,08;30,70%;35,30%;29,00%;15,80%;66,20%;62,50%;64,40%;79,10%;47,80%;9,50%;3,30%;4,1;48%;44%;49%
2;Anadolu Efes Istanbul;34;17;17;203,7;85,9;21,5;38,1;56%;10;27;37%;31,5;65,1;48%;13;15,9;81%;10;22,1;32,1;18,1;10,4;7;3,1;2;18,6;18,4;96,9;0,1;70,7;72;82,1;1,05;1,04;119,4;118,7;0,7;56%;60%;15%;1,57;24%;0,97;8%;0,79;5%;1,39;28%;1,05;8%;13%;48%;43%;77%;19%;22%;1,74;29,40%;37,50%;24,10%;17,40%;68,00%;65,10%;67,40%;72,10%;48,30%;9,60%;4,80%;4,1;48%;47%;49%
3;AS Monaco;34;23;11;200,7;81,6;21,5;40,6;53%;8,1;22,9;35%;29,6;63,5;47%;14,4;19,4;74%;11,4;23,1;34,6;16;10,4;6,7;1,9;2,3;19,7;21,4;91;2,4;70,3;70,6;82,2;0,99;0,98;115,7;112,3;3,4;53%;57%;10%;1,51;27%;1;12%;0,78;1%;0,91;27%;1,07;10%;13%;43%;45%;65%;15%;20%;1,55;32,60%;36,30%;33,40%;22,50%;69,30%;66,70%;66,60%;84,60%;50,50%;9,50%;3,10%;5,1;44%;47%;50%
4;Baskonia Vitoria-Gasteiz;34;18;16;200,7;84,2;19,5;35,2;55%;10,4;28,3;37%;29,9;63,5;47%;14;18,4;76%;10,3;24,9;35,2;18,8;12,5;5,4;2,3;3,2;18,3;19,1;93,2;-0,6;72,9;73,1;83,6;1,01;1,02;115,2;116,3;-1,1;55%;59%;11%;1,64;23%;0,95;7%;0,78;2%;1,59;31%;1,07;9%;15%;51%;47%;75%;26%;23%;1,51;29,70%;35,40%;29,30%;17,20%;70,40%;69,00%;68,20%;87,80%;50,20%;7,50%;3,50%;4,9;48%;50%;51%
5;Crvena Zvezda Meridianbet Belgrade;34;11;23;200;81,6;20,1;36,5;55%;9,3;26,9;35%;29,4;63,4;46%;13,4;17,5;77%;11,6;23;34,6;18,6;12,1;6,8;2,5;2,7;21,7;19,8;89,3;-1;71,3;71,3;83,1;0,98;1,01;114,4;116,1;-1,7;54%;57%;12%;1,56;27%;1;5%;0,62;4%;1,24;28%;1,02;9%;15%;51%;52%;66%;27%;22%;1,54;33,20%;40,10%;31,80%;20,00%;68,50%;63,80%;69,80%;75,40%;50,50%;9,50%;4,00%;4;45%;47%;49%
6;EA7 Emporio Armani Milan;34;15;19;201,5;78,4;18,2;33,2;55%;10;27,2;37%;28,2;60,4;47%;11,9;15,4;78%;9;23,3;32,3;16,1;12,4;7;2,1;1,7;19,4;19,1;85,9;0,5;69,6;70,1;79,3;0,99;0,98;111,8;111,2;0,7;55%;59%;14%;1,57;18%;0,93;10%;0,73;3%;1,21;31%;1,11;8%;16%;47%;42%;73%;20%;20%;1,3;27,60%;30,30%;28,10%;29,50%;71,90%;69,40%;68,50%;82,60%;49,60%;10,00%;3,60%;4,8;46%;42%;49%
7;FC Barcelona;34;22;12;200;82,4;22,2;39,8;56%;8,5;23,6;36%;30,7;63,4;48%;12,5;17;73%;11,6;24,6;36,1;19,2;12,8;6;2,4;1,9;19,5;19;93,9;3;71,9;71,9;83,5;0,99;0,96;114,7;110,9;3,8;55%;58%;12%;1,58;28%;0,98;8%;0,91;3%;1,25;25%;1,07;9%;15%;51%;47%;78%;29%;23%;1,5;33,80%;37,00%;36,40%;14,10%;69,80%;63,70%;69,70%;85,70%;52,00%;8,40%;3,70%;4,7;42%;48%;51%
8;FC Bayern Munich;34;13;21;203,7;78,6;19,1;35,7;53%;9,9;27,6;36%;29;63,3;46%;10,8;13,6;80%;10,7;24,7;35,4;16,1;13,1;6;2,6;2,5;20,6;18,8;84,3;-3,4;70;71,3;82,2;0,96;1,01;110,3;114,4;-4,1;54%;57%;11%;1,51;22%;0,96;11%;0,86;4%;1,18;29%;1,07;7%;16%;46%;40%;73%;23%;20%;1,23;31,00%;34,50%;31,10%;13,30%;73,20%;66,80%;76,70%;80,30%;51,90%;8,40%;4,20%;4,8;48%;40%;49%
9;Fenerbahce Beko Istanbul;34;20;14;202,9;85,3;19,4;34,4;56%;11,1;28,3;39%;30,5;62,7;49%;13,3;16,6;80%;10;23;33;18,1;11,7;6;2,4;1,7;21,4;20;94,5;4,6;70,5;71,5;81,5;1,05;0,98;119,3;113,2;6,2;57%;61%;13%;1,6;21%;0,97;8%;0,81;5%;1,34;29%;1,16;9%;14%;49%;47%;71%;17%;22%;1,55;30,50%;30,40%;33,40%;18,80%;68,60%;66,20%;69,20%;80,80%;49,80%;8,40%;3,80%;4,3;47%;45%;52%
10;LDLC ASVEL Villeurbanne;34;9;25;201,5;78,6;21,9;40,8;54%;7,2;21,3;34%;29,1;62,1;47%;13,4;17,3;77%;10,3;23,7;34;17,8;13;6;1,6;3,3;18,4;19,4;85,8;-6,3;71,4;71,9;82,3;0,96;1,03;109,4;118,2;-8,8;53%;57%;16%;1,42;24%;0,92;10%;0,86;4%;1,33;21%;0,96;9%;16%;50%;49%;77%;23%;22%;1,37;30,10%;35,60%;30,50%;10,30%;69,50%;67,90%;65,70%;84,10%;49,70%;8,40%;2,50%;4,6;49%;47%;49%
11;Maccabi Playtika Tel Aviv;34;20;14;200,7;87,7;23;43,1;53%;8,7;23,8;36%;31,6;66,9;47%;15,8;20,2;78%;13;23;36;19,6;12,3;7,3;3,1;2,2;20,1;19,7;99,3;1;74,4;74,6;87,7;1;1,01;117,5;116;1,6;54%;58%;12%;1,57;27%;0,93;10%;0,81;4%;1,22;23%;1,09;10%;14%;49%;47%;74%;29%;22%;1,6;35,70%;37,70%;38,60%;20,50%;67,60%;60,30%;68,20%;79,20%;51,10%;9,80%;4,80%;4,3;46%;55%;52%
12;Olympiacos Piraeus;34;22;12;202,2;79;18,9;33,9;56%;9,4;25,2;37%;28,3;59,1;48%;13;17,5;74%;9,4;22,9;32,3;19,3;11,4;7;2,8;2,4;18,7;19,3;91,8;3,9;67,5;68,3;77,8;1,01;0,96;115,7;110;5,7;56%;59%;16%;1,58;21%;0,86;7%;0,74;6%;1,34;26%;1,08;9%;15%;55%;53%;79%;27%;25%;1,7;29,40%;37,80%;27,40%;11,40%;70,30%;65,30%;71,50%;85,00%;50,00%;10,30%;4,70%;4,9;41%;48%;51%
13;Panathinaikos AKTOR Athens;34;23;11;202,2;81,9;20,2;36,9;55%;8,9;23,6;38%;29,2;60,5;48%;14,6;19,4;75%;10;23,6;33,7;16,5;12,6;7,4;2,7;2,5;17,9;21,2;94,4;5,2;70,4;71,1;81,4;1,01;0,94;115,2;108,1;7,1;56%;60%;15%;1,52;22%;0,9;9%;0,85;4%;1,49;25%;1,09;10%;15%;45%;41%;69%;25%;20%;1,31;30,60%;35,40%;31,30%;17,90%;69,10%;66,10%;69,50%;82,10%;50,20%;10,40%;4,40%;4,9;43%;49%;51%
14;Partizan Mozzart Bet Belgrade;34;16;18;202,2;83,1;22;37,4;59%;8,1;22,6;36%;30,1;59,9;50%;14,9;18,2;82%;9,2;21,8;31;15,4;12,5;6,6;2,3;1,6;21;20,4;90,6;-0,2;70;70,7;80;1,04;1,02;117,5;117,6;-0,1;57%;62%;14%;1,63;22%;1,03;11%;0,88;3%;1,21;25%;1,07;10%;16%;41%;35%;77%;21%;19%;1,23;29,90%;30,10%;35,50%;14,50%;67,60%;62,40%;68,10%;81,40%;49,20%;9,30%;3,80%;3,9;49%;47%;49%
15;Real Madrid;34;27;7;204,4;88,2;20,9;36,5;57%;10,1;27;37%;31;63,5;49%;16,1;19,6;82%;9,8;26,9;36,8;20,4;12,4;6,3;3,5;1,7;18,9;20,2;106,5;7,5;72,8;74,4;84,4;1,04;0,94;118,5;108,7;9,9;57%;61%;11%;1,66;27%;0,99;5%;0,85;2%;1,54;29%;1,1;10%;15%;52%;52%;74%;25%;24%;1,64;29,90%;35,80%;27,70%;25,50%;69,40%;64,90%;70,90%;87,80%;51,30%;8,50%;5,10%;5,2;41%;51%;50%
16;Valencia Basket;34;14;20;200,7;75,9;20,2;38,5;52%;7,3;22,2;33%;27,4;60,7;45%;13,8;17,8;77%;10,1;24,2;34,3;16,2;13,6;6,5;1,8;3,1;21,1;19,1;78,8;-3,1;71,3;71,6;81,9;0,93;0,97;106,1;110;-3,9;51%;56%;18%;1,43;20%;0,84;10%;0,77;4%;1,12;22%;0,97;9%;17%;46%;42%;80%;25%;20%;1,19;29,60%;31,90%;32,00%;21,20%;70,90%;65,90%;70,20%;76,00%;50,20%;9,00%;3,00%;5,1;46%;50%;49%
17;Virtus Segafredo Bologna;34;17;17;200;80,1;19,7;36,4;54%;9,3;25,6;36%;29;62;47%;12,8;16,9;76%;9,3;22,9;32,3;18,4;12;6,6;2,5;2,1;21,7;19,8;86,7;-2,5;71,6;71,6;81;0,99;1,01;111,9;115,6;-3,6;54%;58%;11%;1,62;25%;1,01;9%;0,61;2%;1,41;29%;1,08;9%;15%;52%;45%;85%;25%;23%;1,53;27,50%;30,40%;28,20%;18,30%;69,60%;63,70%;71,90%;83,90%;48,20%;9,20%;4,10%;4,1;51%;45%;49%
18;Zalgiris Kaunas;34;14;20;200,7;79,1;18,6;35,3;53%;9,8;25;39%;28,4;60,4;47%;12,5;15,5;81%;9,6;22,1;31,7;15,6;12,8;6,3;1,7;2,9;20,9;18,6;81,6;-0,8;69,7;70;79,6;0,99;0,99;113;114,1;-1;55%;59%;15%;1,48;22%;0,88;7%;0,72;4%;1,13;27%;1,19;8%;16%;45%;40%;69%;22%;20%;1,22;29,70%;30,80%;31,90%;22,20%;68,20%;65,50%;66,00%;87,30%;49,00%;9,00%;2,90%;4,3;48%;44%;49%
